	MR	ARI_o	ARI_r	Time
182	0.9	0.15819068450189677	0.18211895783076154	0.19967
183	0.9	0.15197079062443022	0.17308490069779198	0.19278
184	0.9	0.1178766283945664	0.13591968980862817	0.17488
185	0.9	0.06596019081140247	0.07385395452376377	0.23095
186	0.9	0.12158665995726847	0.13541456576269814	0.16658
187	0.9	0.04921503285862149	0.055538352132017556	0.243
188	0.9	0.1192491352798236	0.13418597678157326	0.2418
189	0.9	0.07844524530082281	0.08624822812476156	0.25752
190	0.95	0.08297050820894285	0.09316906305339627	0.28542
191	0.95	0.09290464008889195	0.1041426803340924	0.20896
192	0.95	0.08648493458336982	0.09803684173116335	0.15212
193	0.95	0.09282898730275123	0.10615466689584468	0.18517
194	0.95	0.09396570932597138	0.10523135121560477	0.25438
195	0.95	0.09947448254374562	0.1135104890850821	0.18575
196	0.95	0.11490163792773582	0.12601734043057053	0.25678
197	0.95	0.0888093078840913	0.0972524323547415	0.17234
198	0.95	0.06871167059543151	0.07803859990969758	0.19831
199	0.95	0.07485127360371133	0.08383356479557526	0.1744
